,Apple,Bacon,Banana,Eggs,Milk,Shampoo,Soap,Sugar,Water,Yogurt
0,False,False,False,True,False,True,False,True,False,False
1,False,True,False,True,False,False,True,False,True,True
2,False,False,False,False,False,False,True,False,False,False
3,False,False,False,False,False,False,True,True,False,False
4,False,False,True,False,True,False,False,True,True,True
5,False,True,False,False,True,True,True,True,False,True
6,False,False,False,False,False,False,False,True,False,False
7,True,False,False,False,True,False,False,True,False,False
8,False,False,True,False,False,False,True,False,False,True
9,True,True,False,False,True,True,True,False,True,True
10,False,True,False,True,False,True,True,True,True,True
11,False,True,False,True,False,True,False,True,True,False
12,True,True,True,True,True,True,True,True,True,True
13,True,True,True,True,True,True,True,True,True,True
14,False,True,True,True,False,False,False,True,False,False
15,True,False,False,False,False,False,False,False,False,False
16,True,True,True,True,True,False,False,True,True,True
17,False,False,True,False,False,True,True,False,False,False
18,False,False,True,False,False,False,False,True,False,False
19,False,False,True,False,False,False,False,False,False,False
