,Apple,Bacon,Banana,Eggs,Milk,Shampoo,Soap,Sugar,Water,Yogurt
0,True,True,True,True,True,True,True,True,True,True
1,True,False,False,True,False,False,False,True,False,True
2,False,False,False,True,True,False,True,False,True,True
3,False,True,True,False,False,False,False,True,False,True
4,True,False,True,False,False,True,False,False,False,False
5,False,True,True,True,True,True,True,True,True,True
6,True,True,True,True,True,True,True,False,True,True
7,False,True,True,True,False,True,False,True,False,False
8,False,True,True,False,True,True,True,False,False,True
9,False,True,True,True,True,True,True,True,True,True
10,True,False,False,False,False,False,False,False,False,False
11,False,True,True,False,True,True,True,True,False,True
12,False,True,False,False,False,False,False,False,False,False
13,False,False,False,False,False,False,False,True,False,True
14,False,False,True,False,False,True,False,False,False,True
15,True,False,False,False,True,False,False,False,False,False
16,True,False,False,False,False,False,False,False,False,False
17,True,True,True,True,True,True,True,True,True,True
18,True,True,True,True,True,True,True,True,True,False
19,True,False,True,True,True,False,False,False,True,True
