,Apple,Bacon,Banana,Eggs,Milk,Shampoo,Soap,Sugar,Water,Yogurt
0,True,True,False,True,True,True,True,True,True,False
1,False,False,True,False,False,True,False,False,True,True
2,True,False,True,True,True,True,True,True,True,True
3,False,False,False,True,False,False,False,False,False,False
4,True,True,True,True,False,True,False,True,True,True
5,True,True,True,True,True,True,True,True,True,False
6,True,True,False,False,False,False,True,False,True,True
7,False,False,False,False,False,False,True,False,True,False
8,True,False,False,True,False,False,False,True,False,True
9,False,False,True,False,False,False,False,False,False,True
10,False,True,False,True,True,False,True,False,True,False
11,True,True,True,True,True,True,True,True,True,True
12,True,False,True,True,True,False,True,False,True,False
13,True,True,True,True,False,False,True,True,False,True
14,False,False,False,False,False,True,False,False,True,True
15,False,True,False,False,False,False,True,True,False,True
16,True,False,True,True,True,True,False,False,False,False
17,False,False,True,True,False,True,True,True,True,False
18,False,True,True,False,False,False,True,False,True,True
19,False,False,False,True,False,False,False,False,False,False
